"GL_CODE","GL_DESC"
"3014000A4","CREDITS DE CAMPAGNE  LT"
"3015000A4","CREDITS A LA CONSOMMATION LT"
"3016000A4","CREDITS MORATORIES OU CONSOLIDES SUR L'ETAT LT"
"3017000A4","CRÉDITS NON VENTILABLES"
"3017100A5","CREDITS NON VENTILABLES REECHELONNES LT"
"3017200A5","CREDITS NON VENTILABLES RESTRUCTURES LT"
"3017300A5","AUTRES CREDITS NON VENTILABLES CONSOLIDES LT"
"3020000A3","CRÉDITS À LONG TERME SENSIBLES"
"3021000A4","CREDITS A L'INVESTISSEMENT IMMOBILIER LT"
"3022000A4","CREDITS A L'HABITAT LT"
"3023000A4","CREDITS A L'EQUIPEMENT LT"
"3024000A4","CREDITS DE CAMPAGNE  LT"
"3025000A4","CREDITS A LA CONSOMMATION LT"
"3027000A4","CRÉDITS NON VENTILABLES"
"3027100A5","CRÉDITS RÉÉCHELONNÉS"
"3027200A5","CRÉDITS RESTRUCTURÉS"
"3027300A5","AUTRES CRÉDITS CONSOLIDÉS "
"3080000A3","CREANCES RATTACHEES AUX CREDITS A LONG TERME"
"3100000A2","CREDITS A MOYEN TERME"
"3111000A4","CREDITS A L'INVESTISSEMENT IMMOBILIER MT"
"3112000A4","CREDITS A L'HABITAT MT"
"3113000A4","CREDITS A L'EQUIPEMENT MT"
"3114000A4","CREDITS DE CAMPAGNE  MT"
"3115000A4","CREDITS A LA CONSOMMATION MT"
"3117000A4","CRÉDITS NON VENTILABLES"
"3117100A5","CRÉDITS RÉÉCHELONNÉ"
"1830000A3","COMPTE BLOQUÉS DES ACTIONNAIRES"
"1840000A3","AUTRES COMPTES BLOQUÉS"
"1850000A3","TITRES DE CREANCES NEGOCIABLES"
"1860000A3","AUTRES EMPRUNTS À LONG TERME"
"1861000A4","AUT EMPT A LT CORR"
"1862000A4","AUT EMPT A MT CORR"
"1870000A3","AUTRES EMPRUNTS À MOYEN TERME"
"1871000A4","AUT EMPT A LT AUT PRETEUR"
"1872000A4","AUT EMPT A MT AUT PRETEUR"
"1880000A3","DEPOTS ET CAUTIONNEMENTS REÇUS"
"1890000A3","DETTES RATTACHÉS"
"1900000A2","PROVISONS POUR RISQUES ET CHARGES"
"1910000A3","PROVS POUR RISQUES BANCAIRE GENERAU"
"1911000A4"," PROVISIONS À CARACTÈRE GENERAL EN COUVERTURE DU RISQUE DE CREDIT"
"1912000A4","AUTRES PROVISIONS POUR RISQUES BANCAIRES  GÉNÉRAUX"
"1920000A3","PROVS POUR AUTRES RISQUES GENERAUX"
"1930000A3","PROVISION POUR CHARGES"
"1931000A4","PROVS POUR LITIGES EN COURS"
"1932000A4","PROV POUR PERTES SUR MCHÉS À TERME"
"1933000A4","PROVISIONS POUR PERTES DE CHANGE"
"1934000A4","PROV PR ÉXEC D ENGT D AVALS ET CAUT"
"1934100A5","PROV PR ÉXEC D ENGT CORR"
"1934200A5","PROV PR ÉXEC D ENGT CLTLE"
"1935000A4","PROVISIONS DE PROPRE ASSUREUR"
"1936000A4","PROVISIONS POUR GROSSES RÉPARATIONS"
"1937000A4","PROVS RELATIVES AU PERSONNEL"
"1940000A3","PROVS SUR OPS DE CRÉD BAIL ET ASSIM"
"1941000A4","PROVISION POUR PERTES LATENTES"
"1942000A4","PROVS PR RISQ DE NON PERCEPT LOYERS"
"2000000A2","COMPTE DE VALEURS IMMOB"
"2010000A3","FRAIS IMMOBILISÉS"
"2011000A4","FRAIS RELATIF AU PACTE SOCIAL"
"2013000A4","FRAIS D ACQUISITION DES IMMO"
"2014000A4","FRAIS EXCEPTIONNEL A ETALER"
"2020000A3","VALEURS INCORPORELLES IMMOBILISÉES"
"2021000A4","IMMOBILISATIONS INCORP.EN COURS"
"2022000A4","FONDS DE COMMERCE"
"2024000A4","ETUDES ET RECHERCHES IMMOBILISABLES"
"2025000A4","AUTRES IMMOBILISATIONS INCORPOR"
"2100000A2","TERRAINS"
"2110000A3","TERRAINS EN EXPLOITATION BANCAIRE"
